class|url
Política|gs://blog-files-2024/all/pdf2/2016-08-10_É_preciso_fazer_algo_pelo_mundo_.pdf
Psicanálise|gs://blog-files-2024/all/pdf2/2016-09-03_Cinco_lições_de_psicanálise_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2016-09-04_Qual_a_classe_morfológica_da_filosofia__Verbo_ou_substantivo__.pdf
Psicanálise|gs://blog-files-2024/all/pdf2/2016-09-15_O_que_é_estrutural.pdf
Ética|gs://blog-files-2024/all/pdf2/2016-09-17_Discurso_laureado.pdf
Crônica|gs://blog-files-2024/all/pdf2/2016-09-18_Muitos_domingos.pdf
Psicanálise|gs://blog-files-2024/all/pdf2/2016-09-26_Desenvolvimento_ou_constituição_do_sujeito_(do_desejo)_.pdf
Linguagem|gs://blog-files-2024/all/pdf2/2016-10-02_Uma_nova_imagem.pdf
Crônica|gs://blog-files-2024/all/pdf2/2016-10-15_O_homem_e_a_rua_e_a_rua_e_o_homem.pdf
Psicanálise|gs://blog-files-2024/all/pdf2/2016-10-22_Escola_é_melhor_do_que_lidar_com_merda_.pdf
Antropologia|gs://blog-files-2024/all/pdf2/2016-11-04_Lar,_doce_lar.pdf
Ética|gs://blog-files-2024/all/pdf2/2016-11-23_O_existencialismo_é_um_humanismo_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2016-12-23_Movimento_filosófico.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2016-12-31_Feliz_2017_.pdf
Crônica|gs://blog-files-2024/all/pdf2/2017-01-07_Entre_o_positivo_e_o_negativo.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2017-01-13_Empírico_e_Racional.pdf
Filosofia|gs://blog-files-2024/all/pdf2/2017-01-19_Atitude_filosófica_.pdf
Crônica|gs://blog-files-2024/all/pdf2/2017-01-22_Um_sentimento.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2017-01-29_Só_uma_resposta.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2017-02-13_Convergência.pdf
Ética|gs://blog-files-2024/all/pdf2/2017-02-21_Deus,_ou_seja,_a_Natureza[1]_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2017-03-19_Entre_o_discreto_e_o_contínuo.pdf
Política|gs://blog-files-2024/all/pdf2/2017-03-22_Leviatã,_I,_XVI_.pdf
Crônica|gs://blog-files-2024/all/pdf2/2017-04-08_Incômodo_.pdf
Política|gs://blog-files-2024/all/pdf2/2017-04-12_A_dinâmica_de_forças_que_se_opõe_à_luta_de_todos_contra_todos_.pdf
Marxismo|gs://blog-files-2024/all/pdf2/2017-05-07_A_lei_sobre_o_furto_de_madeira_e_o_direito_dos_pobres_.pdf
Marxismo|gs://blog-files-2024/all/pdf2/2017-05-09_Dialética_sobredeterminada_.pdf
Política|gs://blog-files-2024/all/pdf2/2017-06-17_Nas_masmorras_do_poder.pdf
Crônica|gs://blog-files-2024/all/pdf2/2017-09-14_Colação_de_grau.pdf
Política|gs://blog-files-2024/all/pdf2/2017-09-30_A_corrupção_do_homem_.pdf
Política|gs://blog-files-2024/all/pdf2/2017-11-05_Nada_mudou_.pdf
Ética|gs://blog-files-2024/all/pdf2/2017-12-21_Pós[-meta].pdf
Ética|gs://blog-files-2024/all/pdf2/2018-01-06_Da_definição_de_liberdade_no_Livre-arbítrio_.pdf
Ética|gs://blog-files-2024/all/pdf2/2018-01-11_Que_se_entende_por_consciência_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2018-01-21_Uma_história_de_exclusão_na_filosofia_.pdf
Crônica|gs://blog-files-2024/all/pdf2/2018-01-30_Terra_Brasilis_-_a_vida_como_ela_é.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2018-02-08_Corpos_dóceis_e_rentáveis_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2018-02-24_A_deliberação_humana_.pdf
Mente|gs://blog-files-2024/all/pdf2/2018-03-02_Não_estamos_no_comando.pdf
Mente|gs://blog-files-2024/all/pdf2/2018-03-09_Introdução_ao_epifenomenalismo.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2018-03-20_Os_qualia_.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2018-04-20_Proliferação_plural_progressista.pdf
Ética|gs://blog-files-2024/all/pdf2/2018-04-30_Aparato_Terra_Dois_.pdf
Ética|gs://blog-files-2024/all/pdf2/2018-05-27_Paradigmas_do_século_XXI[i].pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2018-06-05_Ciência_de_Dados.pdf
Mente|gs://blog-files-2024/all/pdf2/2018-06-06_Compatibilizando_os_qualias_com_o_fisicalismo_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2018-06-08_Idealista.pdf
Crônica|gs://blog-files-2024/all/pdf2/2018-07-06_Nosso_Neymar.pdf
Crônica|gs://blog-files-2024/all/pdf2/2018-08-15_Uma_simples_equação.pdf
Crônica|gs://blog-files-2024/all/pdf2/2018-09-05_Respirar_e_seguir.pdf
Crônica|gs://blog-files-2024/all/pdf2/2018-09-12_bichinho_perdido.pdf
Crônica|gs://blog-files-2024/all/pdf2/2018-09-22_Intersecção.pdf
Liberdade|gs://blog-files-2024/all/pdf2/2018-10-14_Que_é_escrever__.pdf
Política|gs://blog-files-2024/all/pdf2/2018-10-29_O_deus_brasileiro_é_fake.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2018-12-20_Genealogia_e_Arqueologia_[i].pdf
Crônica|gs://blog-files-2024/all/pdf2/2018-12-21_Lé_com_cré.pdf
Ética|gs://blog-files-2024/all/pdf2/2019-01-05_Fé_na_Festa_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2019-01-30_O_pragmatismo_de_Putnam[1].pdf
Linguagem|gs://blog-files-2024/all/pdf2/2019-02-27_Como_resolver_problemas_filosóficos_.pdf
Educação|gs://blog-files-2024/all/pdf2/2019-03-24_Didática_e_Pedagogia_do_Exame_.pdf
Ética|gs://blog-files-2024/all/pdf2/2019-04-10_Abrangência.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2019-04-16_O_mundo_não_existe[i].pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2019-04-24_O_espaço_físico_[i].pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2019-05-18_Ideias_de_Deus_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2019-05-23_Acerca_da_dúvida.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2019-05-30_Sobre_a_indução_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2019-06-08_Princípios_lógicos_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2019-06-23_A_mente_que_liga_o_mundo_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2019-06-26_Russell_platônico[i].pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2019-07-06_O_conhecimento_a_priori_lida_com_relações_universais[i].pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2019-07-15_Graus_de_autoevidência_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2019-07-16_A_unidade_complexa_de_Russell_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2019-08-26_Do_conhecimento_à_opinião_há_erro_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2019-09-15_Criticismo_Filosófico_[i].pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2019-09-30_Cidadãos_do_Universo_.pdf
Marxismo|gs://blog-files-2024/all/pdf2/2019-10-19_Repouso[i].pdf
Crônica|gs://blog-files-2024/all/pdf2/2019-11-30_Parasita[i].pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2019-12-05_Sobre_mesa[i].pdf
Crônica|gs://blog-files-2024/all/pdf2/2020-01-16_Filosofia_da_Sobrevivência.pdf
Mente|gs://blog-files-2024/all/pdf2/2020-01-26_A_consciência_da_ginoide[i].pdf
Mente|gs://blog-files-2024/all/pdf2/2020-01-28_The_soul_is_just_a_function_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2020-02-12_Preliminares_da_teoria_da_identidade.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2020-02-19__Duas_acepções_de_identidade[i].pdf
Mente|gs://blog-files-2024/all/pdf2/2020-03-03_The_consciousness_of_the_Universe[i].pdf
Mente|gs://blog-files-2024/all/pdf2/2020-03-03_Uma_consciência,_uma_dificuldade.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2020-03-08_Emergentismo.pdf
Mente|gs://blog-files-2024/all/pdf2/2020-03-14_Is_there_afterlife_[i].pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2020-03-25_Critérios_de_Mesmidade[i].pdf
Política|gs://blog-files-2024/all/pdf2/2020-03-26_Terraplanismo.pdf
Poesia|gs://blog-files-2024/all/pdf2/2020-03-28_Não_tem_ninguém_na_rua.pdf
Mente|gs://blog-files-2024/all/pdf2/2020-04-01_Decoupling_the_decision[i].pdf
Crônica|gs://blog-files-2024/all/pdf2/2020-04-07_Nunca_fomos_tão_burgueses.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2020-04-10_A_consciência_subjetiva_é_parte_da_realidade_.pdf
Mente|gs://blog-files-2024/all/pdf2/2020-04-14_The_Equator_Line[i].pdf
Poesia|gs://blog-files-2024/all/pdf2/2020-04-18_Xô_coronga.pdf
Mente|gs://blog-files-2024/all/pdf2/2020-04-27_Introdução_à_intencionalidade_em_Searle[i].pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2020-04-28_Forget_to_learn_about_consciousness_for_a_while[i].pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2020-05-02_Psicologia_Popular_.pdf
Mente|gs://blog-files-2024/all/pdf2/2020-05-09_Mente_gorda_ou_mente_magra_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2020-05-25_O_MITO_DE_DESCARTES[i].pdf
Mente|gs://blog-files-2024/all/pdf2/2020-05-30_Searle_on_Intentionality[i].pdf
Liberdade|gs://blog-files-2024/all/pdf2/2020-06-18_Livre_direito_de_manifestação.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2020-06-29_A_crença_primordial_na_realidade_do_mundo[i].pdf
Crônica|gs://blog-files-2024/all/pdf2/2020-07-09_Quebrar_as_máquinas.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2020-07-21_A_Filosofia_e_o_conceito.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2020-07-28_Guia_introdutório_ao_pensamento_kantiano[i].pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2020-08-16_O_mistério_das_coisas.pdf
Ética|gs://blog-files-2024/all/pdf2/2020-08-22__A_religião_é_a_merda_do_povo.pdf
Poesia|gs://blog-files-2024/all/pdf2/2020-09-03_Muita_live.pdf
Linguagem|gs://blog-files-2024/all/pdf2/2020-09-06_Trazendo_a_segunda_pessoa_para_o_debate.pdf
Linguagem|gs://blog-files-2024/all/pdf2/2020-09-14_Wittgenstein_e_a_teoria_da_figuração.pdf
Linguagem|gs://blog-files-2024/all/pdf2/2020-10-03_Linguagem_Referencial.pdf
Mente|gs://blog-files-2024/all/pdf2/2020-10-08_Meu_ego.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2020-10-18_O_programa_do_positivismo_lógico_[i].pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2020-11-02_Quine_e_os_problemas_do_positivismo_lógico_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2020-12-03_Informação_gödeliana_anti-IA.pdf
Ciência|gs://blog-files-2024/all/pdf2/2020-12-23_Sobre_a_plasticidade_cerebral_e_outros_princípios_de_seu_funcionamento_interno.pdf
Ética|gs://blog-files-2024/all/pdf2/2020-12-24_Sentido_de_uma_vida_incrédula.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2021-01-29_Kant,_Kant,_Kant.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2021-01-31_A_solução_da_terceira_antinomia_na_Crítica_da_razão_pura[i].pdf
Linguagem|gs://blog-files-2024/all/pdf2/2021-02-01_A_mente_algorítmica.pdf
Mente|gs://blog-files-2024/all/pdf2/2021-02-09_Behaviorismo_de_Skinner[i].pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2021-02-11_A_disseminação_da_atitude_científica_pelo_Círculo_de_Viena.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2021-02-15_Aufbau.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2021-02-16_Introdução_panorâmica_à_filosofia_e_sociologia_da_ciência_do_século_XX.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-02-23_Curto_panorama_da_Filosofia_da_Tecnologia.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-02-26_O_que_você_tem_na_mão_.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-03-01_Do__creatio_ex_nihilo__ao__reductio_at_nihil_.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2021-03-03_Ciência,_técnica_e_realidade.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2021-03-05_Uma_introdução_ao_pensamento_de_Álvaro_Vieira_Pinto.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-03-06_Catálogo_tecnológico.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-03-07_O_despertar_de_um_sono_profundamente_dogmático.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-03-13_Elogio_da_Técnica.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2021-03-14_Girando_em_torno_da_metafísica.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2021-03-16_O_homem_maravilhado.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-03-17_As_circunstâncias_da_vida.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-03-27_Em_busca_das_práticas_focais.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2021-04-02_A_matemática_e_a_metafísica_grega.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-04-03_A_era_tecnológica_como_ideologia.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-04-04_Breve_olhar_de_Heidegger_sobre_a_técnica.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-04-10_Uma_visão_otimista_da_filosofia_da_tecnologia.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2021-04-13_Causalidade,_acaso_e_necessidade_em_Aristóteles.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-04-19_Para_uma_filosofia_da_tecnologia_autêntica.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-04-22_Tecnologia,_um_dilema.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-04-24_Quando_a_técnica_extrapola_seu_valor_moral.pdf
Ciência|gs://blog-files-2024/all/pdf2/2021-05-02_Sobre_o_útero_máquina.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2021-05-08_Primeiro_se_crê,_depois_se_prova_que_há_razão_em_crer.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-05-11_O_projeto_que_transforma_a_realidade_material.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-05-15_Para_uma_educação_técnica,_que_compreenda_a_evolução_do_objeto.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2021-05-19_Apropriação.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-05-29_Sobre_a_relação_imanente_entre_univocidade_técnica_e_multiplicidade_tecnológica.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2021-06-04_Filosofia_além_do_tempo.pdf
Epistemologia|gs://blog-files-2024/all/pdf2/2021-06-06_O_Critério_Renascentista_da_Verdade,_a_visão_direta.pdf
Crônica|gs://blog-files-2024/all/pdf2/2021-06-11_Tecnomedo.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-06-13_Sobre_uma_era_tecnológica_que_sempre_exisitiu.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-06-19_Lewis_Mumford_e_a_visão_histórica_da_tecnologia.pdf
Crônica|gs://blog-files-2024/all/pdf2/2021-06-23_Fuja!.pdf
Tecnologia|gs://blog-files-2024/all/pdf2/2021-06-24_Sobre_relações_tecnológicas.pdf
